LECROYWS452,17453,Waveform
Segments,1,SegmentSize,4998
Segment,TrigTime,TimeSinceSegment1
#1,17-Dec-2014 16:14:11,0                 
Time,Ampl
2.277939e-006,1.49812
2.278939e-006,1.51375
2.279939e-006,1.4825
2.280939e-006,1.4825
2.281939e-006,1.49812
2.282939e-006,1.49812
2.283939e-006,1.49812
2.284939e-006,1.545
2.285939e-006,1.49812
2.286939e-006,1.4825
2.287939e-006,1.49812
2.288939e-006,1.51375
2.289939e-006,1.49812
2.290939e-006,1.46687
2.291939e-006,1.545
2.292939e-006,1.49812
2.293939e-006,1.51375
2.294939e-006,1.545
2.295939e-006,1.4825
2.296939e-006,1.52937
2.297939e-006,1.4825
2.298939e-006,1.4825
2.299939e-006,1.52937
2.300939e-006,1.52937
2.301939e-006,1.51375
2.302939e-006,1.51375
2.303939e-006,1.51375
2.304939e-006,1.51375
2.305939e-006,1.49812
2.306939e-006,1.51375
2.307939e-006,1.51375
2.308939e-006,1.51375
2.309939e-006,1.51375
2.310939e-006,1.545
2.311939e-006,1.56062
2.312939e-006,1.46687
2.313939e-006,1.52937
2.314939e-006,1.51375
2.315939e-006,1.545
2.316939e-006,1.4825
2.317939e-006,1.4825
2.318939e-006,1.56062
2.319939e-006,1.49812
2.320939e-006,1.56062
2.321939e-006,1.49812
2.322939e-006,1.49812
2.323939e-006,1.52937
2.324939e-006,1.49812
2.325939e-006,1.51375
2.326939e-006,1.52937
2.327939e-006,1.4825
2.328939e-006,1.52937
2.329939e-006,1.49812
2.330939e-006,1.51375
2.331939e-006,1.4825
2.332939e-006,1.51375
2.333939e-006,1.52937
2.334939e-006,1.52937
2.335939e-006,1.52937
2.336939e-006,1.52937
2.337939e-006,1.57625
2.338939e-006,1.51375
2.339939e-006,1.52937
2.340939e-006,1.51375
2.341939e-006,1.57625
2.342939e-006,1.46687
2.343939e-006,1.545
2.344939e-006,1.51375
2.345939e-006,1.52937
2.346939e-006,1.52937
2.347939e-006,1.52937
2.348939e-006,1.52937
2.349939e-006,1.49812
2.350939e-006,1.52937
2.351939e-006,1.52937
2.352939e-006,1.52937
2.353939e-006,1.545
2.354939e-006,1.49812
2.355939e-006,1.545
2.356939e-006,1.51375
2.357939e-006,1.52937
2.358939e-006,1.52937
2.359939e-006,1.52937
2.360939e-006,1.51375
2.361939e-006,1.51375
2.362939e-006,1.51375
2.363939e-006,1.51375
2.364939e-006,1.545
2.365939e-006,1.51375
2.366939e-006,1.56062
2.367939e-006,1.52937
2.368939e-006,1.49812
2.369939e-006,1.52937
2.370939e-006,1.545
2.371939e-006,1.51375
2.372939e-006,1.51375
2.373939e-006,1.52937
2.374939e-006,1.51375
2.375939e-006,1.52937
2.376939e-006,1.49812
2.377939e-006,1.49812
2.378939e-006,1.545
2.379939e-006,1.49812
2.380939e-006,1.52937
2.381939e-006,1.545
2.382939e-006,1.52937
2.383939e-006,1.49812
2.384939e-006,1.545
2.385939e-006,1.4825
2.386939e-006,1.51375
2.387939e-006,1.52937
2.388939e-006,1.51375
2.389939e-006,1.51375
2.390939e-006,1.4825
2.391939e-006,1.52937
2.392939e-006,1.51375
2.393939e-006,1.52937
2.394939e-006,1.51375
2.395939e-006,1.49812
2.396939e-006,1.49812
2.397939e-006,1.51375
2.398939e-006,1.4825
2.399939e-006,1.52937
2.400939e-006,1.4825
2.401939e-006,1.56062
2.402939e-006,1.52937
2.403939e-006,1.49812
2.404939e-006,1.52937
2.405939e-006,1.51375
2.406939e-006,1.51375
2.407939e-006,1.4825
2.408939e-006,1.49812
2.409939e-006,1.56062
2.410939e-006,1.51375
2.411939e-006,1.49812
2.412939e-006,1.49812
2.413939e-006,1.52937
2.414939e-006,1.49812
2.415939e-006,1.51375
2.416939e-006,1.49812
2.417939e-006,1.52937
2.418939e-006,1.4825
2.419939e-006,1.49812
2.420939e-006,1.49812
2.421939e-006,1.545
2.422939e-006,1.49812
2.423939e-006,1.49812
2.424939e-006,1.51375
2.425939e-006,1.51375
2.426939e-006,1.51375
2.427939e-006,1.46687
2.428939e-006,1.51375
2.429939e-006,1.51375
2.430939e-006,1.46687
2.431939e-006,1.52937
2.432939e-006,1.4825
2.433939e-006,1.4825
2.434939e-006,1.4825
2.435939e-006,1.51375
2.436939e-006,1.49812
2.437939e-006,1.49812
2.438939e-006,1.51375
2.439939e-006,1.4825
2.440939e-006,1.49812
2.441939e-006,1.49812
2.442939e-006,1.45125
2.443939e-006,1.49812
2.444939e-006,1.49812
2.445939e-006,1.51375
2.446939e-006,1.46687
2.447939e-006,1.52937
2.448939e-006,1.49812
2.449939e-006,1.4825
2.450939e-006,1.49812
2.451939e-006,1.51375
2.452939e-006,1.4825
2.453939e-006,1.49812
2.454939e-006,1.46687
2.455939e-006,1.4825
2.456939e-006,1.49812
2.457939e-006,1.51375
2.458939e-006,1.49812
2.459939e-006,1.49812
2.460939e-006,1.46687
2.461939e-006,1.49812
2.462939e-006,1.545
2.463939e-006,1.46687
2.464939e-006,1.4825
2.465939e-006,1.4825
2.466939e-006,1.49812
2.467939e-006,1.4825
2.468939e-006,1.49812
2.469939e-006,1.49812
2.470939e-006,1.51375
2.471939e-006,1.49812
2.472939e-006,1.49812
2.473939e-006,1.4825
2.474939e-006,1.51375
2.475939e-006,1.51375
2.476939e-006,1.4825
2.477939e-006,1.51375
2.478939e-006,1.49812
2.479939e-006,1.49812
2.480939e-006,1.51375
2.481939e-006,1.49812
2.482939e-006,1.49812
2.483939e-006,1.4825
2.484939e-006,1.51375
2.485939e-006,1.51375
2.486939e-006,1.52937
